labels,gender,source,path
sad,male,SAVEE,Savee/JK_sa01.wav
sad,male,SAVEE,Savee/JK_sa15.wav
neutral,male,SAVEE,Savee/DC_n13.wav
surprise,male,SAVEE,Savee/DC_su09.wav
neutral,male,SAVEE,Savee/DC_n07.wav
neutral,male,SAVEE,Savee/JK_n20.wav
neutral,male,SAVEE,Savee/JK_n08.wav
sad,male,SAVEE,Savee/JE_sa08.wav
fear,male,SAVEE,Savee/JK_f15.wav
fear,male,SAVEE,Savee/JK_f01.wav
sad,male,SAVEE,Savee/KL_sa13.wav
sad,male,SAVEE,Savee/KL_sa07.wav
disgust,male,SAVEE,Savee/JK_d03.wav
happy,male,SAVEE,Savee/DC_h01.wav
happy,male,SAVEE,Savee/DC_h15.wav
happy,male,SAVEE,Savee/DC_h14.wav
disgust,male,SAVEE,Savee/JK_d02.wav
sad,male,SAVEE,Savee/KL_sa06.wav
sad,male,SAVEE,Savee/KL_sa12.wav
fear,male,SAVEE,Savee/JK_f14.wav
sad,male,SAVEE,Savee/JE_sa09.wav
neutral,male,SAVEE,Savee/JK_n09.wav
neutral,male,SAVEE,Savee/JK_n21.wav
neutral,male,SAVEE,Savee/DC_n06.wav
neutral,male,SAVEE,Savee/DC_n12.wav
surprise,male,SAVEE,Savee/DC_su08.wav
sad,male,SAVEE,Savee/JK_sa14.wav
sad,male,SAVEE,Savee/JK_sa02.wav
neutral,male,SAVEE,Savee/DC_n04.wav
neutral,male,SAVEE,Savee/DC_n10.wav
neutral,male,SAVEE,Savee/JK_n23.wav
fear,male,SAVEE,Savee/JK_f02.wav
sad,male,SAVEE,Savee/KL_sa04.wav
sad,male,SAVEE,Savee/KL_sa10.wav
disgust,male,SAVEE,Savee/JK_d14.wav
happy,male,SAVEE,Savee/DC_h02.wav
happy,male,SAVEE,Savee/DC_h03.wav
disgust,male,SAVEE,Savee/JK_d15.wav
sad,male,SAVEE,Savee/KL_sa11.wav
disgust,male,SAVEE,Savee/JK_d01.wav
sad,male,SAVEE,Savee/KL_sa05.wav
fear,male,SAVEE,Savee/JK_f03.wav
neutral,male,SAVEE,Savee/JK_n22.wav
neutral,male,SAVEE,Savee/DC_n11.wav
neutral,male,SAVEE,Savee/DC_n05.wav
sad,male,SAVEE,Savee/JK_sa03.wav
sad,male,SAVEE,Savee/JK_sa13.wav
sad,male,SAVEE,Savee/JK_sa07.wav
neutral,male,SAVEE,Savee/DC_n29.wav
neutral,male,SAVEE,Savee/DC_n01.wav
neutral,male,SAVEE,Savee/DC_n15.wav
neutral,male,SAVEE,Savee/JK_n26.wav
fear,male,SAVEE,Savee/JK_f07.wav
fear,male,SAVEE,Savee/JK_f13.wav
happy,male,SAVEE,Savee/JK_h08.wav
sad,male,SAVEE,Savee/KL_sa01.wav
disgust,male,SAVEE,Savee/JK_d05.wav
sad,male,SAVEE,Savee/KL_sa15.wav
disgust,male,SAVEE,Savee/JK_d11.wav
fear,male,SAVEE,Savee/DC_f08.wav
happy,male,SAVEE,Savee/DC_h13.wav
angry,male,SAVEE,Savee/KL_a09.wav
happy,male,SAVEE,Savee/DC_h07.wav
happy,male,SAVEE,Savee/DC_h06.wav
happy,male,SAVEE,Savee/DC_h12.wav
angry,male,SAVEE,Savee/KL_a08.wav
fear,male,SAVEE,Savee/DC_f09.wav
disgust,male,SAVEE,Savee/JK_d10.wav
sad,male,SAVEE,Savee/KL_sa14.wav
disgust,male,SAVEE,Savee/JK_d04.wav
happy,male,SAVEE,Savee/JK_h09.wav
fear,male,SAVEE,Savee/JK_f12.wav
fear,male,SAVEE,Savee/JK_f06.wav
neutral,male,SAVEE,Savee/JK_n27.wav
neutral,male,SAVEE,Savee/DC_n14.wav
neutral,male,SAVEE,Savee/DC_n28.wav
sad,male,SAVEE,Savee/JK_sa06.wav
sad,male,SAVEE,Savee/JK_sa12.wav
sad,male,SAVEE,Savee/JK_sa04.wav
sad,male,SAVEE,Savee/JK_sa10.wav
neutral,male,SAVEE,Savee/DC_n16.wav
neutral,male,SAVEE,Savee/DC_n02.wav
neutral,male,SAVEE,Savee/JK_n19.wav
neutral,male,SAVEE,Savee/JK_n25.wav
angry,male,SAVEE,Savee/JE_a09.wav
fear,male,SAVEE,Savee/JK_f10.wav
fear,male,SAVEE,Savee/JK_f04.wav
disgust,male,SAVEE,Savee/DC_d09.wav
disgust,male,SAVEE,Savee/JK_d12.wav
sad,male,SAVEE,Savee/KL_sa02.wav
disgust,male,SAVEE,Savee/JK_d06.wav
happy,male,SAVEE,Savee/DC_h04.wav
happy,male,SAVEE,Savee/DC_h10.wav
happy,male,SAVEE,Savee/DC_h11.wav
happy,male,SAVEE,Savee/DC_h05.wav
disgust,male,SAVEE,Savee/JK_d07.wav
sad,male,SAVEE,Savee/KL_sa03.wav
disgust,male,SAVEE,Savee/JK_d13.wav
disgust,male,SAVEE,Savee/DC_d08.wav
fear,male,SAVEE,Savee/JK_f05.wav
fear,male,SAVEE,Savee/JK_f11.wav
neutral,male,SAVEE,Savee/JK_n30.wav
neutral,male,SAVEE,Savee/JK_n24.wav
angry,male,SAVEE,Savee/JE_a08.wav
neutral,male,SAVEE,Savee/JK_n18.wav
neutral,male,SAVEE,Savee/DC_n03.wav
neutral,male,SAVEE,Savee/DC_n17.wav
sad,male,SAVEE,Savee/JK_sa11.wav
sad,male,SAVEE,Savee/JK_sa05.wav
neutral,male,SAVEE,Savee/KL_n17.wav
neutral,male,SAVEE,Savee/KL_n03.wav
surprise,male,SAVEE,Savee/JE_su04.wav
surprise,male,SAVEE,Savee/JE_su10.wav
happy,male,SAVEE,Savee/JE_h12.wav
happy,male,SAVEE,Savee/JE_h06.wav
fear,male,SAVEE,Savee/JE_f09.wav
neutral,male,SAVEE,Savee/JE_n14.wav
angry,male,SAVEE,Savee/JK_a10.wav
neutral,male,SAVEE,Savee/JE_n28.wav
angry,male,SAVEE,Savee/JK_a04.wav
disgust,male,SAVEE,Savee/KL_d08.wav
sad,male,SAVEE,Savee/DC_sa11.wav
sad,male,SAVEE,Savee/DC_sa05.wav
happy,male,SAVEE,Savee/KL_h05.wav
happy,male,SAVEE,Savee/KL_h11.wav
happy,male,SAVEE,Savee/KL_h10.wav
happy,male,SAVEE,Savee/KL_h04.wav
sad,male,SAVEE,Savee/DC_sa04.wav
sad,male,SAVEE,Savee/DC_sa10.wav
disgust,male,SAVEE,Savee/KL_d09.wav
neutral,male,SAVEE,Savee/JE_n29.wav
angry,male,SAVEE,Savee/JK_a05.wav
angry,male,SAVEE,Savee/JK_a11.wav
neutral,male,SAVEE,Savee/JE_n15.wav
neutral,male,SAVEE,Savee/JE_n01.wav
fear,male,SAVEE,Savee/JE_f08.wav
happy,male,SAVEE,Savee/JE_h07.wav
happy,male,SAVEE,Savee/JE_h13.wav
surprise,male,SAVEE,Savee/JE_su11.wav
surprise,male,SAVEE,Savee/JE_su05.wav
neutral,male,SAVEE,Savee/KL_n02.wav
neutral,male,SAVEE,Savee/KL_n16.wav
neutral,male,SAVEE,Savee/KL_n14.wav
surprise,male,SAVEE,Savee/JE_su13.wav
surprise,male,SAVEE,Savee/JE_su07.wav
neutral,male,SAVEE,Savee/KL_n28.wav
disgust,male,SAVEE,Savee/JE_d08.wav
happy,male,SAVEE,Savee/JE_h05.wav
surprise,male,SAVEE,Savee/KL_su08.wav
happy,male,SAVEE,Savee/JE_h11.wav
neutral,male,SAVEE,Savee/JE_n17.wav
neutral,male,SAVEE,Savee/JE_n03.wav
angry,male,SAVEE,Savee/JK_a07.wav
angry,male,SAVEE,Savee/JK_a13.wav
sad,male,SAVEE,Savee/DC_sa06.wav
sad,male,SAVEE,Savee/DC_sa12.wav
happy,male,SAVEE,Savee/KL_h12.wav
angry,male,SAVEE,Savee/DC_a08.wav
happy,male,SAVEE,Savee/KL_h06.wav
fear,male,SAVEE,Savee/KL_f09.wav
fear,male,SAVEE,Savee/KL_f08.wav
happy,male,SAVEE,Savee/KL_h07.wav
happy,male,SAVEE,Savee/KL_h13.wav
angry,male,SAVEE,Savee/DC_a09.wav
sad,male,SAVEE,Savee/DC_sa13.wav
sad,male,SAVEE,Savee/DC_sa07.wav
angry,male,SAVEE,Savee/JK_a12.wav
angry,male,SAVEE,Savee/JK_a06.wav
neutral,male,SAVEE,Savee/JE_n02.wav
neutral,male,SAVEE,Savee/JE_n16.wav
surprise,male,SAVEE,Savee/KL_su09.wav
happy,male,SAVEE,Savee/JE_h10.wav
happy,male,SAVEE,Savee/JE_h04.wav
disgust,male,SAVEE,Savee/JE_d09.wav
neutral,male,SAVEE,Savee/KL_n29.wav
surprise,male,SAVEE,Savee/JE_su06.wav
surprise,male,SAVEE,Savee/JE_su12.wav
neutral,male,SAVEE,Savee/KL_n15.wav
neutral,male,SAVEE,Savee/KL_n01.wav
surprise,male,SAVEE,Savee/JE_su02.wav
neutral,male,SAVEE,Savee/KL_n05.wav
neutral,male,SAVEE,Savee/KL_n11.wav
happy,male,SAVEE,Savee/JE_h14.wav
angry,male,SAVEE,Savee/JK_a02.wav
neutral,male,SAVEE,Savee/JE_n12.wav
neutral,male,SAVEE,Savee/JE_n06.wav
sad,male,SAVEE,Savee/DC_sa03.wav
happy,male,SAVEE,Savee/KL_h03.wav
happy,male,SAVEE,Savee/KL_h02.wav
sad,male,SAVEE,Savee/DC_sa02.wav
neutral,male,SAVEE,Savee/JE_n07.wav
neutral,male,SAVEE,Savee/JE_n13.wav
angry,male,SAVEE,Savee/JK_a03.wav
happy,male,SAVEE,Savee/JE_h15.wav
happy,male,SAVEE,Savee/JE_h01.wav
neutral,male,SAVEE,Savee/KL_n10.wav
neutral,male,SAVEE,Savee/KL_n04.wav
surprise,male,SAVEE,Savee/JE_su03.wav
surprise,male,SAVEE,Savee/JE_su01.wav
surprise,male,SAVEE,Savee/JE_su15.wav
neutral,male,SAVEE,Savee/KL_n12.wav
neutral,male,SAVEE,Savee/KL_n06.wav
happy,male,SAVEE,Savee/JE_h03.wav
angry,male,SAVEE,Savee/JK_a15.wav
angry,male,SAVEE,Savee/JK_a01.wav
neutral,male,SAVEE,Savee/JE_n05.wav
surprise,male,SAVEE,Savee/JK_su08.wav
neutral,male,SAVEE,Savee/JE_n11.wav
sad,male,SAVEE,Savee/DC_sa14.wav
happy,male,SAVEE,Savee/KL_h14.wav
happy,male,SAVEE,Savee/KL_h15.wav
happy,male,SAVEE,Savee/KL_h01.wav
sad,male,SAVEE,Savee/DC_sa01.wav
sad,male,SAVEE,Savee/DC_sa15.wav
surprise,male,SAVEE,Savee/JK_su09.wav
neutral,male,SAVEE,Savee/JE_n10.wav
neutral,male,SAVEE,Savee/JE_n04.wav
angry,male,SAVEE,Savee/JK_a14.wav
happy,male,SAVEE,Savee/JE_h02.wav
neutral,male,SAVEE,Savee/KL_n07.wav
neutral,male,SAVEE,Savee/KL_n13.wav
surprise,male,SAVEE,Savee/JE_su14.wav
neutral,male,SAVEE,Savee/KL_n22.wav
disgust,male,SAVEE,Savee/JE_d02.wav
surprise,male,SAVEE,Savee/KL_su02.wav
fear,male,SAVEE,Savee/JE_f14.wav
neutral,male,SAVEE,Savee/JE_n21.wav
surprise,male,SAVEE,Savee/JK_su04.wav
neutral,male,SAVEE,Savee/JE_n09.wav
surprise,male,SAVEE,Savee/JK_su10.wav
disgust,male,SAVEE,Savee/KL_d01.wav
disgust,male,SAVEE,Savee/KL_d15.wav
angry,male,SAVEE,Savee/DC_a02.wav
fear,male,SAVEE,Savee/KL_f03.wav
fear,male,SAVEE,Savee/KL_f02.wav
angry,male,SAVEE,Savee/DC_a03.wav
disgust,male,SAVEE,Savee/KL_d14.wav
neutral,male,SAVEE,Savee/JE_n08.wav
surprise,male,SAVEE,Savee/JK_su11.wav
surprise,male,SAVEE,Savee/JK_su05.wav
neutral,male,SAVEE,Savee/JE_n20.wav
fear,male,SAVEE,Savee/JE_f01.wav
fear,male,SAVEE,Savee/JE_f15.wav
surprise,male,SAVEE,Savee/KL_su03.wav
disgust,male,SAVEE,Savee/JE_d03.wav
neutral,male,SAVEE,Savee/KL_n23.wav
neutral,male,SAVEE,Savee/KL_n21.wav
neutral,male,SAVEE,Savee/KL_n09.wav
disgust,male,SAVEE,Savee/JE_d01.wav
disgust,male,SAVEE,Savee/JE_d15.wav
surprise,male,SAVEE,Savee/KL_su01.wav
surprise,male,SAVEE,Savee/KL_su15.wav
fear,male,SAVEE,Savee/JE_f03.wav
neutral,male,SAVEE,Savee/JE_n22.wav
surprise,male,SAVEE,Savee/JK_su13.wav
surprise,male,SAVEE,Savee/JK_su07.wav
disgust,male,SAVEE,Savee/KL_d02.wav
angry,male,SAVEE,Savee/DC_a15.wav
angry,male,SAVEE,Savee/DC_a01.wav
fear,male,SAVEE,Savee/KL_f14.wav
fear,male,SAVEE,Savee/KL_f01.wav
fear,male,SAVEE,Savee/KL_f15.wav
angry,male,SAVEE,Savee/DC_a14.wav
disgust,male,SAVEE,Savee/KL_d03.wav
surprise,male,SAVEE,Savee/JK_su06.wav
surprise,male,SAVEE,Savee/JK_su12.wav
neutral,male,SAVEE,Savee/JE_n23.wav
fear,male,SAVEE,Savee/JE_f02.wav
surprise,male,SAVEE,Savee/KL_su14.wav
disgust,male,SAVEE,Savee/JE_d14.wav
neutral,male,SAVEE,Savee/KL_n08.wav
neutral,male,SAVEE,Savee/KL_n20.wav
neutral,male,SAVEE,Savee/KL_n18.wav
neutral,male,SAVEE,Savee/KL_n24.wav
neutral,male,SAVEE,Savee/KL_n30.wav
disgust,male,SAVEE,Savee/JE_d04.wav
disgust,male,SAVEE,Savee/JE_d10.wav
surprise,male,SAVEE,Savee/KL_su04.wav
happy,male,SAVEE,Savee/JE_h09.wav
surprise,male,SAVEE,Savee/KL_su10.wav
fear,male,SAVEE,Savee/JE_f06.wav
fear,male,SAVEE,Savee/JE_f12.wav
surprise,male,SAVEE,Savee/JK_su02.wav
neutral,male,SAVEE,Savee/JE_n27.wav
disgust,male,SAVEE,Savee/KL_d13.wav
disgust,male,SAVEE,Savee/KL_d07.wav
angry,male,SAVEE,Savee/DC_a10.wav
angry,male,SAVEE,Savee/DC_a04.wav
fear,male,SAVEE,Savee/KL_f11.wav
fear,male,SAVEE,Savee/KL_f05.wav
fear,male,SAVEE,Savee/KL_f04.wav
fear,male,SAVEE,Savee/KL_f10.wav
angry,male,SAVEE,Savee/DC_a05.wav
angry,male,SAVEE,Savee/DC_a11.wav
disgust,male,SAVEE,Savee/KL_d06.wav
disgust,male,SAVEE,Savee/KL_d12.wav
neutral,male,SAVEE,Savee/JE_n26.wav
surprise,male,SAVEE,Savee/JK_su03.wav
fear,male,SAVEE,Savee/JE_f13.wav
fear,male,SAVEE,Savee/JE_f07.wav
happy,male,SAVEE,Savee/JE_h08.wav
surprise,male,SAVEE,Savee/KL_su11.wav
surprise,male,SAVEE,Savee/KL_su05.wav
disgust,male,SAVEE,Savee/JE_d11.wav
disgust,male,SAVEE,Savee/JE_d05.wav
neutral,male,SAVEE,Savee/KL_n25.wav
neutral,male,SAVEE,Savee/KL_n19.wav
neutral,male,SAVEE,Savee/KL_n27.wav
surprise,male,SAVEE,Savee/JE_su08.wav
disgust,male,SAVEE,Savee/JE_d13.wav
disgust,male,SAVEE,Savee/JE_d07.wav
surprise,male,SAVEE,Savee/KL_su13.wav
surprise,male,SAVEE,Savee/KL_su07.wav
fear,male,SAVEE,Savee/JE_f11.wav
fear,male,SAVEE,Savee/JE_f05.wav
neutral,male,SAVEE,Savee/JE_n18.wav
surprise,male,SAVEE,Savee/JK_su01.wav
surprise,male,SAVEE,Savee/JK_su15.wav
neutral,male,SAVEE,Savee/JE_n24.wav
angry,male,SAVEE,Savee/JK_a08.wav
neutral,male,SAVEE,Savee/JE_n30.wav
disgust,male,SAVEE,Savee/KL_d04.wav
disgust,male,SAVEE,Savee/KL_d10.wav
sad,male,SAVEE,Savee/DC_sa09.wav
angry,male,SAVEE,Savee/DC_a07.wav
happy,male,SAVEE,Savee/KL_h09.wav
angry,male,SAVEE,Savee/DC_a13.wav
fear,male,SAVEE,Savee/KL_f06.wav
